seed,player,elo,Top1,Top2,Top4,Top8,elim_R16,elim_QF,elim_SF,finalist_lost,champion,display_name,photo,flag,club_logo,club,theme_color
1,SUYS Olivier,2121.0,0.3512991811449944,0.5250016103418598,0.6676262737142222,0.8399506946347535,0.1600493053652465,0.1723244209205312,0.1426246633723624,0.1737024291968653,0.3512991811449944,SUYS Olivier,assets/players/suys-olivier.png,assets/flags/fr.png,assets/clubs/viroflay.png,Viroflay,#111827
2,DUMAS Emmanuel,2095.0,0.2919395926777975,0.4821487246896756,0.6305588524723921,0.8187932901343153,0.1812067098656846,0.1882344376619232,0.1484101277827164,0.190209132011878,0.2919395926777975,DUMAS Emmanuel,assets/players/dumas-emmanuel.png,assets/flags/fr.png,assets/clubs/lyon.png,Lyon,#1D4ED8
3,COSTE Denis,1923.0,0.0512509609901079,0.1324335990992622,0.3476882368767521,0.6172250309049463,0.3827749690950537,0.2695367940281941,0.2152546377774899,0.0811826381091542,0.0512509609901079,COSTE Denis,assets/players/coste-denis.png,assets/flags/fr.png,assets/clubs/default.png,,#DB2777
4,BERNARD Pierre,1920.0,0.0474566780399196,0.1151704886750768,0.3317164727639035,0.6076610641268197,0.3923389358731802,0.2759445913629162,0.2165459840888265,0.0677138106351572,0.0474566780399196,BERNARD Pierre,assets/players/bernard-pierre.png,assets/flags/fr.png,assets/clubs/la-roche-sur-yon.png,La-Roche-sur-Yon,#059669
5,TRUCCHI Sébastien,1916.0,0.0449375550789216,0.1104228437231301,0.3223672576415202,0.6007782458900109,0.399221754109989,0.2784109882484907,0.21194441391839,0.0654852886442084,0.0449375550789216,TRUCCHI Sébastien,assets/players/trucchi-sebastien.png,assets/flags/fr.png,assets/clubs/antibes.png,Antibes,#DB2777
6,OLIVIER Philippe,1902.0,0.0383735033290968,0.1061429215393532,0.2987437417975546,0.5798997603578815,0.4201002396421185,0.2811560185603269,0.1926008202582013,0.0677694182102564,0.0383735033290968,OLIVIER Philippe,assets/players/olivier-philippe.png,assets/flags/be.png,assets/clubs/dour.png,Dour,#F59E0B
7,CAMBLONCQ Thierry,1901.0,0.0319896065882306,0.088778606566673,0.1714661252829614,0.5530468951694625,0.4469531048305375,0.381580769886501,0.0826875187162884,0.0567889999784424,0.0319896065882306,CAMBLONCQ Thierry,assets/players/cambloncq-thierry.png,assets/flags/fr.png,assets/clubs/pau.png,,#EA580C
8,BROSSEAU Dany,1891.0,0.0260062182784342,0.0692487601519672,0.1391600687563472,0.515824985264735,0.484175014735265,0.3766649165083877,0.06991130860438,0.0432425418735329,0.0260062182784342,BROSSEAU Dany,assets/players/brosseau-dany.png,assets/flags/fr.png,assets/clubs/tarbes-nord.png,Tarbes-Nord,#EA580C
9,DUCHAINE Laurent,1880.0,0.0218484310599989,0.0603536638503991,0.1252263491613832,0.4841750147352649,0.5158249852647351,0.3589486655738816,0.064872685310984,0.0385052327904002,0.0218484310599989,DUCHAINE Laurent,assets/players/duchaine-laurent.png,assets/flags/fr.png,assets/clubs/tarbes-nord.png,Tarbes-Nord,#EA580C
10,RODRIGUES Marvin,1864.0,0.0178032029507049,0.0561189469109381,0.1206590936074774,0.4469531048305375,0.5530468951694625,0.3262940112230601,0.0645401466965392,0.0383157439602332,0.0178032029507049,RODRIGUES Marvin,assets/players/rodrigues-marvin.png,assets/flags/fr.png,assets/clubs/default.png,,#EA580C
11,ROCCHIA Philippe,1846.0,0.0158423162394244,0.0533041601905986,0.1831667141802823,0.4201002396421185,0.5798997603578815,0.2369335254618362,0.1298625539896837,0.0374618439511741,0.0158423162394244,ROCCHIA Philippe,assets/players/rocchia-philippe.png,assets/flags/fr.png,assets/clubs/marseille.png,Marseille,#DB2777
12,BARBET Catherine,1845.0,0.0147799577551545,0.04614369747142,0.174051761168292,0.399221754109989,0.600778245890011,0.2251699929416969,0.127908063696872,0.0313637397162654,0.0147799577551545,BARBET Catherine,assets/players/barbet-catherine.png,assets/flags/fr.png,assets/clubs/saint-lo.png,Saint-Lô,#2563EB
13,KERBIRIOU Jean-Luc,1844.0,0.0144859307043608,0.045389740095411,0.171864508426284,0.3923389358731801,0.6076610641268199,0.2204744274468961,0.1264747683308729,0.0309038093910501,0.0144859307043608,KERBIRIOU Jean-Luc,assets/players/kerbiriou-jean-luc.png,assets/flags/fr.png,assets/clubs/default.png,,#111827
14,BARCET Vincent,1840.0,0.0140926824058086,0.0484823911810952,0.170401307145411,0.3827749690950536,0.6172250309049463,0.2123736619496426,0.1219189159643157,0.0343897087752866,0.0140926824058086,BARCET Vincent,assets/players/barcet-vincent.png,assets/flags/fr.png,assets/clubs/default.png,,#DB2777
15,CALAIS Jean-Manuel,1833.0,0.0092282372226062,0.0325906498224037,0.077315928637169,0.1812067098656847,0.8187932901343153,0.1038907812285157,0.0447252788147652,0.0233624125997974,0.0092282372226062,CALAIS Jean-Manuel,assets/players/calais-jean-manuel.png,assets/flags/fr.png,assets/clubs/default.png,,#111827
16,ROUX Pierre-Damien,1833.0,0.0086659455344378,0.0282691956907353,0.0679873083680471,0.1600493053652465,0.8399506946347535,0.0920619969971994,0.0397181126773117,0.0196032501562974,0.0086659455344378,ROUX Pierre-Damien,assets/players/roux-pierre-damien.png,assets/flags/fr.png,assets/clubs/fontenay-sous-bois.png,Fontenay-sous-Bois,#111827
