rank,player,elo_source,elo_effective,games,inactivity,force,win_probability
1,SUYS Olivier,2121.0,2121.0,184,1,132.1295634186575,0.06489795609096649
2,DUMAS Emmanuel,2095.0,2095.0,349,1,124.45146117713857,0.06112670967767754
3,BLAYE Arnaud,2038.0,2038.0,445,1,109.1440336448756,0.05360817458113172
4,LANDEMAINE Thierry,2024.0,2024.0,376,0,105.68175092136585,0.05190760836149703
5,PINEL Florian,2011.0,2011.0,374,0,102.5651926251408,0.0503768512907082
6,MERRHEIM Philippe,1996.0,1996.0,195,0,99.08319448927675,0.04866660147012775
7,DURAND Jean-Marc,1951.0,1951.0,199,1,89.33054837332953,0.04387640325083882
8,LECLÈRE Christophe,1946.0,1946.0,391,0,88.30799004185627,0.04337415421603248
9,COSTE Denis,1923.0,1923.0,122,1,83.75292821268826,0.04113684868854566
10,BERNARD Pierre,1920.0,1920.0,192,0,83.17637711026708,0.04085366461405832
11,TRUCCHI Sébastien,1916.0,1916.0,286,1,82.41381150130022,0.04047911596554425
12,OLIVIER Philippe,1902.0,1902.0,273,0,79.79946872679764,0.03919503163046768
13,CAMBLONCQ Thierry,1901.0,1901.0,163,3,79.61593504173187,0.039104885559244615
14,BROSSEAU Dany,1891.0,1891.0,259,0,77.8036551039804,0.038214749689711225
15,DUCHAINE Laurent,1880.0,1880.0,257,0,75.85775750291836,0.03725898495543216
16,RODRIGUES Marvin,1864.0,1864.0,190,0,73.11390834834177,0.03591129109081441
17,ROCCHIA Philippe,1846.0,1846.0,35,3,70.14552984199715,0.034453315351079844
18,BARBET Catherine,1845.0,1845.0,299,1,69.98419960022734,0.0343740749246709
19,KERBIRIOU Jean-Luc,1844.0,1844.0,99,2,69.82324040771715,0.0342950167461854
20,BARCET Vincent,1840.0,1840.0,104,1,69.18309709189366,0.03398059814275291
21,CALAIS Jean-Manuel,1833.0,1833.0,215,1,68.07693586937414,0.03343728595287501
22,ROUX Pierre-Damien,1833.0,1833.0,137,1,68.07693586937414,0.03343728595287501
23,BONTHOUX Julien,1829.0,1829.0,138,1,67.45280276979219,0.033130731072622766
24,BAKAYOKO Ahmed,1826.0,1826.0,347,1,66.98846094165265,0.03290266072413977
